title,link,days_passed,company,location,salary
برنامه‌نویس پایتون (Python),https://jobinja.ir/companies/amerandish-hoshmand/jobs/CMgO/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D9%86%D9%88%DB%8C%D8%B3-%D9%BE%D8%A7%DB%8C%D8%AA%D9%88%D9%86-python-%D8%AF%D8%B1-%D8%B9%D8%A7%D9%85%D8%B1-%D8%A7%D9%86%D8%AF%DB%8C%D8%B4-%D9%87%D9%88%D8%B4%D9%85%D9%86%D8%AF?_ref=16,(۸ روز پیش),عامر اندیش هوشمند | Amerandish Hoshmand,تهران، تهران,قراردادتمام‌وقت(حقوقتوافقی)
برنامه‌نویس پایتون (Python-آقا),https://jobinja.ir/companies/danesh-gostar-sina/jobs/C4mc/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D9%86%D9%88%DB%8C%D8%B3-%D9%BE%D8%A7%DB%8C%D8%AA%D9%88%D9%86-python-%D8%A2%D9%82%D8%A7-%D8%AF%D8%B1-%D8%AF%D8%A7%D9%86%D8%B4-%DA%AF%D8%B3%D8%AA%D8%B1-%D8%B3%DB%8C%D9%86%D8%A7?_ref=16,(۴۹ روز پیش),دانش گستر سینا | Danesh Gostar Sina,تهران، تهران,قراردادتمام‌وقت(حقوقتوافقی)
برنامه‌نویس پایتون (Python/Django-اصفهان),https://jobinja.ir/companies/payampardaz/jobs/C02i/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D9%86%D9%88%DB%8C%D8%B3-%D9%BE%D8%A7%DB%8C%D8%AA%D9%88%D9%86-python-django-%D8%A7%D8%B5%D9%81%D9%87%D8%A7%D9%86-%D8%AF%D8%B1-%D8%AF%D8%A7%D9%86%D8%B4-%D8%A8%D9%86%DB%8C%D8%A7%D9%86-%D9%85%D9%87%D9%86%D8%AF%D8%B3%DB%8C-%D8%A7%D8%B1%D8%AA%D8%A8%D8%A7%D8%B7%DB%8C-%D9%BE%DB%8C%D8%A7%D9%85-%D9%BE%D8%B1%D8%AF%D8%A7%D8%B2?_ref=16,(۳ روز پیش),دانش بنیان مهندسی ارتباطی پیام پرداز | Payam Pardaz,اصفهان، اصفهان,قراردادتمام‌وقت(حقوقتوافقی)
مدرس برنامه‌نویسی پایتون جنگو (Python-Django-کرج),https://jobinja.ir/companies/netcollege/jobs/CsUC/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D9%85%D8%AF%D8%B1%D8%B3-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D9%86%D9%88%DB%8C%D8%B3%DB%8C-%D9%BE%D8%A7%DB%8C%D8%AA%D9%88%D9%86-%D8%AC%D9%86%DA%AF%D9%88-python-django-%DA%A9%D8%B1%D8%AC-%D8%AF%D8%B1-%D9%86%D8%AA-%DA%A9%D8%A7%D9%84%D8%AC?_ref=16,(۲۹ روز پیش),نت کالج | Net College,البرز، کرج,قراردادپاره‌وقت(حقوقتوافقی)
Python Developer,https://jobinja.ir/companies/liaservices/jobs/CGpy/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-python-developer-%D8%AF%D8%B1-%D9%84%DB%8C%D8%A7-%D8%B3%D8%B1%D9%88%DB%8C%D8%B3?_ref=16,(۲۱ روز پیش),لیا سرویس | liaservices,تهران، تهران,"قراردادتمام‌وقت(حقوقاز۱۲,۰۰۰,۰۰۰تومان)"
برنامه‌نویس پایتون (Django),https://jobinja.ir/companies/mehr-4/jobs/Cumy/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D9%86%D9%88%DB%8C%D8%B3-%D9%BE%D8%A7%DB%8C%D8%AA%D9%88%D9%86-django-%D8%AF%D8%B1-%D8%A8%D8%A7%D8%B2%D8%B1%DA%AF%D8%A7%D9%86%DB%8C-%D9%85%D9%87%D8%B1%D8%B3%D8%B1%D9%85%D8%B3%D8%AA%D8%A7%D9%86?_ref=16,(۱۴ روز پیش),بازرگانی مهرسرمستان | Mehr Sarmastan,تهران، تهران,قراردادتمام‌وقت(حقوقتوافقی)
Senior Python Developer,https://jobinja.ir/companies/abantether-com/jobs/CjQk/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-senior-python-developer-%D8%AF%D8%B1-%D8%A2%D8%A8%D8%A7%D9%86-%D8%AA%D8%AA%D8%B1?_ref=16,(۳۱ روز پیش),آبان تتر | Aban Tether,تهران، تهران,قراردادتمام‌وقت(حقوقتوافقی)
Python Developer (قم),https://jobinja.ir/companies/shooban/jobs/CMbw/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-python-developer-%D9%82%D9%85-%D8%AF%D8%B1-%D8%AA%D9%88%D8%B3%D8%B9%D9%87-%D8%AF%D8%A7%D9%85%D9%BE%D8%B1%D9%88%D8%B1%DB%8C-%D8%B4%D9%88%D8%A8%D8%A7%D9%86?_ref=16,(۸ روز پیش),توسعه دامپروری شوبان | Shooban,قم، قم,قراردادتمام‌وقت(حقوقتوافقی)
برنامه‌نویس Python,https://jobinja.ir/companies/sheypoor/jobs/Crom/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D9%86%D9%88%DB%8C%D8%B3-python-%D8%AF%D8%B1-%D8%B4%DB%8C%D9%BE%D9%88%D8%B1?_ref=16,(امروز),شیپور | Sheypoor,تهران، تهران,قراردادتمام‌وقت(حقوقتوافقی)
Python Developer (قم),https://jobinja.ir/companies/research-center-on-developing-advanced-technologies/jobs/C9jv/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-python-developer-%D9%82%D9%85-%D8%AF%D8%B1-%D9%BE%DA%98%D9%88%D9%87%D8%B4%DA%AF%D8%A7%D9%87-%D8%AA%D9%88%D8%B3%D8%B9%D9%87-%D9%81%D9%86%D8%A7%D9%88%D8%B1%DB%8C-%D9%87%D8%A7%DB%8C-%D9%BE%DB%8C%D8%B4%D8%B1%D9%81%D8%AA%D9%87-%D8%AE%D9%88%D8%A7%D8%AC%D9%87-%D9%86%D8%B5%DB%8C%D8%B1%D8%A7%D9%84%D8%AF%DB%8C%D9%86-%D8%B7%D9%88%D8%B3%DB%8C?_ref=16,(۶ روز پیش),پژوهشگاه توسعه فناوری‌های پیشرفته خواجه‌ نصیرالدین طوسی | Research Center on Developing Advanced Technologies,قم، قم,قراردادتمام‌وقت(حقوقتوافقی)
